response_id,ip_addr,timestamp,duplicate,time_to_complete,response_status,seq_no,country_code,region,intro,q1,q2_phd,q2_abd,q2_ma,q2_mls,q2_other
8982570,50.14.245.19,7/10/12 6:26,FALSE,121,Yes,1,,,,,,,,,
8983585,74.106.93.140,7/10/12 8:11,FALSE,524,Yes,1,CA,NB,,5,1,,,,
8986011,71.213.204.126,7/10/12 10:50,FALSE,744,Yes,1,US,IA,,2,,1,,,
8986114,208.200.11.110,7/10/12 10:57,FALSE,0,No,1,US,VA,,2,,1,,,
8998060,128.143.197.196,7/11/12 6:42,FALSE,2817,Yes,1,US,VA,,2,1,1,1,1,
8998413,173.166.27.193,7/11/12 7:14,FALSE,222,Yes,1,,,,5,1,,,,
9000947,129.237.212.5,7/11/12 10:35,FALSE,279,Yes,1,US,KS,,2,,1,1,,
9012604,170.140.105.12,7/12/12 8:34,FALSE,2733,Yes,1,US,GA,,2,1,,,,
9014022,128.227.223.31,7/12/12 10:09,FALSE,396,Yes,1,US,FL,,2,,,1,1,
9014550,71.168.218.10,7/12/12 10:37,FALSE,651,Yes,1,US,NJ,,3,1,1,1,,
9017570,108.41.148.110,7/12/12 14:10,FALSE,0,No,1,,,,4,,1,,,
9046656,66.183.99.139,7/14/12 9:50,FALSE,0,No,1,CA,BC,,5,1,1,1,,BA
9054570,24.91.41.243,7/15/12 10:28,FALSE,1094,Yes,1,US,MA,,1,,,1,,
9064441,76.182.42.254,7/16/12 7:05,FALSE,1039,Yes,1,US,NC,,2,1,,1,,
9068043,88.79.237.11,7/16/12 12:31,FALSE,0,No,1,DE,,,2,1,,1,1,
9068156,184.157.245.31,7/16/12 12:44,FALSE,901,Yes,1,,,,1,,1,,,
9069436,134.48.168.150,7/16/12 15:00,FALSE,0,No,1,US,WI,,2,1,,1,,
9070970,173.24.209.78,7/16/12 18:30,FALSE,410,Yes,1,US,AL,,2,1,1,1,1,MS
9080676,164.67.16.76,7/17/12 11:15,FALSE,999,Yes,1,US,CA,,3,1,1,1,1,JD
9081377,192.100.21.140,7/17/12 12:15,FALSE,1217,Yes,1,US,DC,,5,1,,,,
9104485,128.148.7.76,7/19/12 5:18,FALSE,612,Yes,1,US,RI,,2,,1,,,
9123985,99.175.221.203,7/21/12 5:30,FALSE,792,Yes,1,US,IL,,1,,1,,,
9192246,38.98.224.68,7/24/12 7:58,FALSE,652,Yes,1,US,PA,,2,,,1,,
9196155,72.61.76.57,7/24/12 10:09,FALSE,1047,Yes,1,US,,,4,1,,1,,
9235385,192.17.253.187,7/26/12 9:24,FALSE,0,No,1,US,IL,,5,1,1,1,1,
9235589,132.235.44.239,7/26/12 9:45,FALSE,351,Yes,1,US,OH,,5,,,,1,
9235621,165.230.138.133,7/26/12 9:48,FALSE,0,No,1,US,NJ,,5,1,,,,
9235679,165.230.138.133,7/26/12 9:52,FALSE,211,Yes,1,US,NJ,,4,1,,,,
9236148,130.160.141.1,7/26/12 10:40,FALSE,3174,Yes,1,US,AL,,4,1,1,,1,
9236291,129.174.114.117,7/26/12 10:55,FALSE,2874,Yes,1,US,VA,,3,1,,,,
9237668,128.210.126.86,7/26/12 13:18,FALSE,342,Yes,1,US,IN,,3,1,,,,
9240503,129.237.44.10,7/26/12 14:55,FALSE,1239,Yes,1,US,KS,,2,1,,,,
9246730,138.16.129.188,7/27/12 5:32,FALSE,585,Yes,1,US,RI,,5,1,,,,
9246886,128.59.159.215,7/27/12 5:49,FALSE,439,Yes,1,US,NY,,5,1,1,1,1,
9250176,129.93.17.73,7/27/12 9:11,FALSE,375,Yes,1,US,NE,,3,1,,,,
9251445,151.151.109.25,7/27/12 10:19,FALSE,1399,Yes,1,US,CA,,4,,,1,,"BA, students"
9254971,137.54.29.107,7/27/12 14:44,FALSE,0,No,1,US,VA,,1,,,1,1,
9262885,216.201.119.34,7/28/12 14:38,FALSE,613,Yes,1,US,IL,,3,,,1,1,
9270853,98.228.124.45,7/29/12 10:46,FALSE,1491,Yes,1,US,IN,,5,1,,,1,
9271210,98.217.51.201,7/29/12 11:43,FALSE,0,No,1,US,MA,,5,1,,,,
9277810,164.156.66.4,7/30/12 5:54,FALSE,782,Yes,1,US,PA,,2,,,1,,BA
9279908,129.118.161.125,7/30/12 9:07,FALSE,484,Yes,1,US,TX,,,1,,1,1,
9281469,128.104.244.207,7/30/12 11:44,FALSE,389,Yes,1,US,WI,,5,1,,,,
9283010,128.220.205.66,7/30/12 13:34,FALSE,634,Yes,1,US,MD,,5,1,,,,
9283141,137.99.96.156,7/30/12 13:42,FALSE,416,Yes,1,US,CT,,2,1,,,,
9302087,128.220.8.150,7/31/12 9:25,FALSE,425,Yes,1,US,MD,,1,1,,,,
9309006,128.122.91.157,7/31/12 16:39,FALSE,498,Yes,1,US,NY,,5,1,1,1,1,non-US degrees
9394189,128.84.116.134,8/6/12 7:36,FALSE,1002,Yes,1,US,NY,,5,1,,1,1,
9505018,208.253.114.165,8/13/12 9:34,FALSE,711,Yes,1,US,WV,,1,1,,,,
9507006,142.150.46.58,8/13/12 10:46,FALSE,458,Yes,1,CA,ON,,3,1,1,1,1,
9507920,24.22.96.157,8/13/12 12:05,FALSE,0,No,1,US,OR,,5,1,,,,
9514825,38.105.236.130,8/14/12 5:49,FALSE,439,Yes,1,US,NY,,2,1,1,,,
9517159,24.7.178.14,8/14/12 10:45,FALSE,480,Yes,1,US,CA,,2,1,,,,
9517583,209.140.79.148,8/14/12 11:39,FALSE,335,Yes,1,,,,4,1,,,,
9518810,128.48.127.32,8/14/12 14:10,FALSE,989,Yes,1,US,CA,,1,1,,,,
9561024,146.96.24.54,8/18/12 15:57,FALSE,846,Yes,1,US,NY,,5,,1,,,
9574542,128.97.170.76,8/20/12 9:40,FALSE,0,No,1,US,CA,,5,,1,1,,
9574554,128.97.170.76,8/20/12 9:42,FALSE,0,No,1,US,CA,,5,,1,1,,
9591810,130.102.158.12,8/21/12 20:23,FALSE,302,Yes,1,AU,04,,2,,,,1,
9603112,128.59.226.12,8/22/12 15:25,FALSE,2042,Yes,1,US,NY,,3,1,1,1,1,M Arch
9792226,165.82.19.228,9/4/12 10:10,FALSE,263,Yes,1,US,PA,,2,1,,,,
9795622,98.236.91.62,9/4/12 17:47,FALSE,914,Yes,1,US,,,2,,,,,MPA
9809694,128.200.159.228,9/5/12 14:44,FALSE,466,Yes,1,US,CA,,5,1,,,,
9822513,129.237.212.15,9/6/12 7:52,FALSE,2744,Yes,1,US,KS,,5,1,,,,
9824775,69.129.25.190,9/6/12 10:56,FALSE,667,Yes,1,US,WI,,5,1,1,1,,
9844488,207.152.160.253,9/7/12 13:18,FALSE,2272,Yes,1,US,MD,,5,1,1,1,1,
9871217,209.222.61.132,9/9/12 19:30,FALSE,794,Yes,1,CA,ON,,2,,,1,,
9880892,98.210.165.206,9/10/12 10:38,FALSE,692,Yes,1,US,CA,,2,1,,,,
9904173,171.64.156.187,9/11/12 16:59,FALSE,475,Yes,1,US,CA,,2,1,,,,
9924023,171.64.156.26,9/12/12 10:59,FALSE,670,Yes,1,US,CA,,2,1,,,,
9955881,216.201.119.34,9/13/12 8:03,FALSE,982,Yes,1,US,IL,,2,,,1,,
10061182,66.207.95.23,9/18/12 11:30,FALSE,2006,Yes,1,US,VA,,1,1,,,,
10122376,128.125.114.153,9/21/12 8:18,FALSE,1220,Yes,1,US,CA,,2,,,,,Master's
